Zip,Median,Mean
4256,"57,461","62,178"
4257,"33,194","43,931"
4258,"57,465","62,145"
4259,"50,327","64,094"
4260,"65,117","70,252"
4263,"51,429","58,227"
4265,"50,461","64,318"
4267,"45,086","59,891"
4268,"38,853","60,147"
4270,"43,171","49,862"
4271,"37,342","49,847"
4274,"56,585","69,091"
4275,"33,194","43,931"
4276,"31,579","41,316"
4280,"51,911","58,615"
4281,"37,342","49,847"
4282,"61,949","67,417"
4284,"54,239","69,824"
4285,"41,923","49,976"
4286,"39,861","52,721"
4287,"63,192","68,092"
4289,"41,071","47,668"
4290,"40,750","51,715"
4292,"40,750","51,715"
4294,"31,670","49,011"
4330,"32,081","40,593"
4342,"43,799","57,895"
4343,"58,066","66,948"
4344,"51,168","57,911"
4345,"50,261","59,338"
4346,"49,682","56,633"
4347,"59,500","88,317"
4349,"54,204","69,799"
4350,"61,100","67,899"
4351,"61,472","82,243"
4352,"51,583","67,916"
4354,"50,893","52,663"
4355,"62,935","68,500"
4357,"55,917","53,871"
4358,"53,673","66,846"
4359,"55,217","63,759"
4360,"51,583","67,916"
4363,"44,747","58,015"
4364,"58,066","66,948"
4401,"44,997","58,452"
4406,"28,902","39,087"
4408,"44,615","54,674"
4410,"42,664","48,946"
4411,"45,369","47,777"
4412,"49,913","59,916"
4413,"31,898","39,776"
4414,"34,718","43,182"
4415,"33,696","41,510"
4416,"49,035","50,644"
4417,"37,226","45,620"
4418,"41,148","49,480"
4419,"48,530","51,805"
4421,"47,431","69,386"
4422,"47,250","48,514"
4424,"32,989","41,545"
4426,"41,447","46,722"
4427,"47,250","48,514"
4428,"49,503","62,019"
4429,"53,791","66,047"
4430,"34,041","43,392"
4431,"46,143","59,269"
4434,"48,852","57,146"
4435,"41,490","46,670"
4438,"44,347","52,856"
4441,"40,821","48,828"
4442,"40,809","48,387"
4443,"30,331","42,297"
4444,"80,066","86,767"
4448,"32,758","40,377"
4449,"42,664","48,946"
4450,"57,280","78,506"
4451,"28,899","38,279"
4453,"39,225","46,623"
4454,"31,898","39,776"
4455,"37,226","45,620"
4456,"52,302","56,344"
4457,"32,548","41,371"
4459,"26,576","35,567"
4460,"41,401","48,357"
4461,"45,369","47,777"
4462,"35,908","44,158"
4463,"31,016","37,515"
4464,"29,724","39,369"
4468,"34,495","44,316"
4469,"27,663","52,647"
4471,"36,306","46,922"
4472,"46,143","59,269"
4473,"37,175","56,236"
4474,"68,135","71,918"
4475,"42,045","50,363"
4476,"47,431","69,386"
4478,"33,194","37,527"
4479,"31,206","44,304"
4481,"31,005","37,498"
4485,"29,708","39,349"
4487,"25,492","34,302"
4488,"48,852","57,146"
4489,"41,458","51,207"
4490,"31,898","39,776"
4491,"31,898","39,776"
4492,"31,898","39,776"
4493,"44,092","54,348"
4495,"37,226","45,620"
4496,"50,596","58,168"
4497,"34,942","45,331"
4530,"45,563","53,868"
4535,"55,809","67,856"
4537,"51,374","59,203"
